LINE_NUMBER,ZONE_NUMBER,TIME_RANGE,DIRECTION,TOTAL_OPERATING_COST,FARE_COLLECTED,FAREBOX_RECOVERY,SIGN_ON_DATE,COUNTY,TYPE
111,5,4 - PM Peak,Outbound,122.45,44.88,37.00,7/9/2013 0:00:00,Union,Interstate
111,5,5 - Evening,Inbound,51.95,200.80,387.00,7/9/2013 0:00:00,Union,Interstate
111,1,2 - AM Peak,Outbound,0.00,0.00,0.00,7/12/2013 0:00:00,New York,Interstate
111,1,3 - Mid Day,Inbound,463.84,252.06,54.00,7/12/2013 0:00:00,New York,Interstate
111,1,3 - Mid Day,Outbound,0.00,0.00,0.00,7/12/2013 0:00:00,New York,Interstate
111,1,4 - PM Peak,Inbound,526.93,642.89,122.00,7/12/2013 0:00:00,New York,Interstate
111,1,4 - PM Peak,Outbound,0.00,0.00,0.00,7/12/2013 0:00:00,New York,Interstate
111,1,5 - Evening,Inbound,144.72,332.86,230.00,7/12/2013 0:00:00,New York,Interstate
111,2,2 - AM Peak,Outbound,178.11,380.09,213.00,7/12/2013 0:00:00,Hudson,Interstate
111,2,3 - Mid Day,Inbound,898.01,197.25,22.00,7/12/2013 0:00:00,Hudson,Interstate
111,2,3 - Mid Day,Outbound,207.80,673.66,324.00,7/12/2013 0:00:00,Hudson,Interstate
111,2,4 - PM Peak,Inbound,712.47,443.43,62.00,7/12/2013 0:00:00,Hudson,Interstate
111,2,4 - PM Peak,Outbound,29.68,58.93,199.00,7/12/2013 0:00:00,Hudson,Interstate
